_id,neighborhood,school,enrolled_students
373,Perry North,PITTSBURGH MORROW PreK-8,112
374,Perry North,PITTSBURGH ALLEGHENY K-5,53
375,Perry North,PITTSBURGH PERRY HIGH SCHOOL,40
376,Perry North,PITTSBURGH OBAMA IB 6-12,22
377,Perry North,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,18
378,Perry North,PITTSBURGH CAPA 6-12,16
379,Perry North,PITTSBURGH LIBERTY K-5,11
380,Perry South,Other,144
381,Perry South,PITTSBURGH KING PreK-8,73
382,Perry South,PITTSBURGH ALLEGHENY K-5,68
383,Perry South,PITTSBURGH PERRY HIGH SCHOOL,55
384,Perry South,PITTSBURGH ALLEGHENY 6-8,31
385,Perry South,PITTSBURGH MORROW PreK-8,23
386,Perry South,PITTSBURGH OBAMA IB 6-12,18
387,Perry South,PITTSBURGH CAPA 6-12,16
388,Perry South,PITTSBURGH MANCHESTER PreK-8,15
389,Point Breeze,PITTSBURGH ALLDERDICE HIGH SCHOOL,119
390,Point Breeze,PITTSBURGH COLFAX K-8,63
391,Point Breeze,Other,50
392,Point Breeze,PITTSBURGH CAPA 6-12,34
393,Point Breeze,PITTSBURGH OBAMA IB 6-12,18
394,Point Breeze,PITTSBURGH MINADEO PreK-5,17
395,Point Breeze,PITTSBURGH MONTESSORI PreK-5,16
396,Point Breeze North,Other,57
397,Point Breeze North,PITTSBURGH ALLDERDICE HIGH SCHOOL,39
398,Point Breeze North,PITTSBURGH COLFAX K-8,23
399,Point Breeze North,PITTSBURGH MINADEO PreK-5,14
400,Polish Hill,Other,37
401,Polish Hill,PITTSBURGH WOOLSLAIR PreK-5,11
402,Regent Square,Other,28
403,Regent Square,PITTSBURGH ALLDERDICE HIGH SCHOOL,20
404,Ridgemont,Other,20
405,Saint Clair,Other,25
406,Shadyside,PITTSBURGH COLFAX K-8,116
407,Shadyside,Other,69
408,Shadyside,PITTSBURGH ALLDERDICE HIGH SCHOOL,32
409,Sheraden,PITTSBURGH LANGLEY K-8,273
410,Sheraden,PITTSBURGH BRASHEAR HIGH SCHOOL,139
411,Sheraden,Other,128
412,Sheraden,PITTSBURGH CHARTIERS EARLY CHILDHOOD CENTER,37
413,Sheraden,PITTSBURGH CLASSICAL 6-8,18
414,Sheraden,PITTSBURGH ALLEGHENY K-5,15
415,Sheraden,PITTSBURGH CARMALT PreK-8,15
416,Sheraden,PITTSBURGH STUDENT ACHIEVEMENT CENTER 6-12,13
417,Sheraden,PITTSBURGH CAPA 6-12,12
418,Sheraden,PITTSBURGH ALLDERDICE HIGH SCHOOL,11
419,Sheraden,PITTSBURGH LIBERTY K-5,11
420,Sheraden,PITTSBURGH OBAMA IB 6-12,11
421,Sheraden,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,11
422,South Oakland,PITTSBURGH ALLDERDICE HIGH SCHOOL,31
423,South Oakland,Other,23
424,South Oakland,PITTSBURGH GREENFIELD PreK-8,23
425,South Side Flats,Other,44
426,South Side Flats,PITTSBURGH PHILLIPS K-5,39
427,South Side Flats,PITTSBURGH BRASHEAR HIGH SCHOOL,16
428,South Side Flats,PITTSBURGH CAPA 6-12,13
429,South Side Slopes,Other,94
430,South Side Slopes,PITTSBURGH ARLINGTON PreK-8,24
431,South Side Slopes,PITTSBURGH PHILLIPS K-5,20
432,South Side Slopes,PITTSBURGH CARRICK HIGH SCHOOL,17
433,South Side Slopes,PITTSBURGH SOUTH HILLS 6-8,16
434,South Side Slopes,PITTSBURGH GRANDVIEW PreK-5,11
435,Spring Garden,Other,38
436,Spring Garden,PITTSBURGH SPRING HILL K-5,15
437,Spring Garden,PITTSBURGH ALLEGHENY K-5,14
438,Spring Hill-City View,Other,87
439,Spring Hill-City View,PITTSBURGH SPRING HILL K-5,74
440,Spring Hill-City View,PITTSBURGH SCHILLER 6-8,35
441,Spring Hill-City View,PITTSBURGH PERRY HIGH SCHOOL,26
442,Spring Hill-City View,PITTSBURGH ALLEGHENY K-5,17
443,Squirrel Hill North,PITTSBURGH COLFAX K-8,142
444,Squirrel Hill North,PITTSBURGH ALLDERDICE HIGH SCHOOL,115
445,Squirrel Hill North,PITTSBURGH CAPA 6-12,33
446,Squirrel Hill North,Other,26
447,Squirrel Hill North,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,17
448,Squirrel Hill South,PITTSBURGH COLFAX K-8,307
449,Squirrel Hill South,PITTSBURGH ALLDERDICE HIGH SCHOOL,192
450,Squirrel Hill South,Other,50
451,Squirrel Hill South,PITTSBURGH CAPA 6-12,48
452,Squirrel Hill South,PITTSBURGH MINADEO PreK-5,30
453,Squirrel Hill South,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,22
454,Squirrel Hill South,PITTSBURGH MINADEO EARLY CHILDHOOD CENTER,17
455,Squirrel Hill South,PITTSBURGH MONTESSORI PreK-5,13
456,Stanton Heights,PITTSBURGH SUNNYSIDE PreK-8,85
457,Stanton Heights,Other,68
458,Stanton Heights,PITTSBURGH OBAMA IB 6-12,42
459,Stanton Heights,PITTSBURGH DILWORTH PreK-5,40
460,Stanton Heights,PITTSBURGH CAPA 6-12,28
461,Stanton Heights,PITTSBURGH ALLDERDICE HIGH SCHOOL,20
462,Stanton Heights,PITTSBURGH MILLIONES 6-12,16
463,Stanton Heights,PITTSBURGH FULTON PreK-5,11
464,Stanton Heights,PITTSBURGH LIBERTY K-5,11
465,Stanton Heights,PITTSBURGH MONTESSORI PreK-5,11
466,Summer Hill,Other,45
467,Swisshelm Park,PITTSBURGH ALLDERDICE HIGH SCHOOL,30
468,Swisshelm Park,Other,26
469,Terrace Village,Other,159
